,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks*,66,16165,0.454,13.2,0.751,0.277,0.153,0.074,0.247,0.249,0.482,0.63,0.43,0.397,0.373,0.37,0.532,0.048,233,0.225,699,0.915,0.34,0.398,8.0,1.0
1,2.0,Boston Celtics*,66,15940,0.46,12.9,0.806,0.28,0.116,0.145,0.266,0.194,0.483,0.637,0.333,0.418,0.42,0.367,0.62,0.049,223,0.228,670,0.909,0.309,0.439,4.0,0.0
2,3.0,Charlotte Bobcats,66,15890,0.414,12.8,0.831,0.29,0.125,0.108,0.309,0.169,0.439,0.592,0.322,0.377,0.363,0.295,0.584,0.049,229,0.231,647,0.757,0.158,0.34,12.0,0.0
3,4.0,Chicago Bulls*,66,15940,0.452,12.6,0.795,0.297,0.142,0.116,0.241,0.205,0.471,0.605,0.415,0.405,0.372,0.375,0.581,0.046,231,0.235,717,0.807,0.261,0.375,13.0,0.0
4,5.0,Cleveland Cavaliers,66,15965,0.422,11.7,0.763,0.326,0.188,0.081,0.167,0.238,0.446,0.599,0.322,0.326,0.343,0.346,0.516,0.044,211,0.263,799,0.836,0.236,0.359,6.0,0.0
5,6.0,Dallas Mavericks*,66,16065,0.443,13.4,0.729,0.24,0.167,0.148,0.175,0.271,0.482,0.658,0.355,0.409,0.422,0.339,0.509,0.051,248,0.174,568,0.829,0.228,0.35,10.0,0.0
6,7.0,Denver Nuggets*,66,16040,0.476,11.0,0.757,0.404,0.151,0.077,0.125,0.243,0.522,0.645,0.372,0.392,0.386,0.332,0.553,0.078,386,0.315,993,0.92,0.313,0.361,22.0,1.0
7,8.0,Detroit Pistons,66,15965,0.438,11.4,0.825,0.329,0.172,0.107,0.216,0.175,0.457,0.589,0.36,0.375,0.376,0.346,0.488,0.035,145,0.268,782,0.849,0.239,0.356,14.0,0.0
8,9.0,Golden State Warriors,66,15915,0.457,13.4,0.752,0.259,0.166,0.091,0.236,0.248,0.48,0.647,0.343,0.428,0.413,0.388,0.516,0.049,241,0.198,639,0.87,0.274,0.457,13.0,1.0
9,10.0,Houston Rockets,66,16065,0.449,12.7,0.76,0.25,0.202,0.12,0.189,0.24,0.477,0.655,0.374,0.398,0.403,0.359,0.504,0.036,173,0.221,762,0.816,0.287,0.435,9.0,0.0
10,11.0,Indiana Pacers*,66,15990,0.438,11.9,0.802,0.269,0.219,0.127,0.187,0.198,0.455,0.584,0.404,0.382,0.379,0.368,0.455,0.038,178,0.227,674,0.855,0.277,0.363,12.0,1.0
11,12.0,Los Angeles Clippers*,66,15965,0.455,13.7,0.731,0.256,0.159,0.083,0.234,0.269,0.49,0.663,0.408,0.403,0.389,0.357,0.5,0.088,407,0.173,551,0.823,0.288,0.357,10.0,0.0
12,13.0,Los Angeles Lakers*,66,16065,0.457,12.5,0.791,0.258,0.212,0.117,0.205,0.209,0.491,0.671,0.4,0.397,0.414,0.326,0.575,0.062,307,0.181,595,0.82,0.283,0.346,9.0,1.0
13,14.0,Memphis Grizzlies*,66,15940,0.447,11.7,0.843,0.298,0.192,0.134,0.219,0.157,0.47,0.628,0.386,0.384,0.381,0.326,0.491,0.049,231,0.23,739,0.852,0.226,0.37,20.0,1.0
