,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Boston Celtics,19.0,4610,0.43700000000000006,13.4,0.633,0.289,0.154,0.099,0.091,0.36700000000000005,0.493,0.6459999999999999,0.303,0.41700000000000004,0.41,0.34299999999999997,0.48100000000000004,0.057,76,0.284,225,0.8340000000000001,0.198,0.435,2.0,0.0
1,2.0,Cleveland Cavaliers,22.0,5330,0.45,13.9,0.63,0.27399999999999997,0.138,0.106,0.11199999999999999,0.37,0.52,0.726,0.365,0.35600000000000004,0.363,0.331,0.414,0.048,81,0.251,281,0.81,0.24100000000000002,0.366,7.0,1.0
2,3.0,Golden State Warriors,21.0,5065,0.48,14.6,0.635,0.243,0.107,0.153,0.132,0.365,0.55,0.738,0.37799999999999995,0.444,0.46399999999999997,0.35700000000000004,0.596,0.073,122,0.209,229,0.732,0.2,0.379,5.0,0.0
3,4.0,Houston Rockets,17.0,4080,0.436,14.4,0.534,0.245,0.17,0.083,0.037000000000000005,0.466,0.522,0.679,0.366,0.483,0.28300000000000003,0.337,0.441,0.057999999999999996,82,0.255,188,0.623,0.231,0.442,2.0,0.0
4,5.0,Indiana Pacers,7.0,1680,0.48100000000000004,13.1,0.6609999999999999,0.337,0.11800000000000001,0.08,0.127,0.33899999999999997,0.544,0.7090000000000001,0.39399999999999996,0.42200000000000004,0.324,0.358,0.475,0.039,19,0.326,115,0.765,0.247,0.36200000000000004,3.0,0.0
5,6.0,Miami Heat,5.0,1200,0.442,13.2,0.667,0.304,0.114,0.11599999999999999,0.133,0.33299999999999996,0.467,0.5710000000000001,0.319,0.43799999999999994,0.382,0.391,0.535,0.055999999999999994,19,0.263,51,0.9259999999999999,0.152,0.667,1.0,0.0
6,7.0,Milwaukee Bucks,7.0,1705,0.5,13.1,0.672,0.27,0.17,0.128,0.10400000000000001,0.32799999999999996,0.563,0.75,0.419,0.457,0.439,0.37200000000000005,0.444,0.077,40,0.235,72,0.925,0.244,0.386,2.0,0.0
7,8.0,Minnesota Timberwolves,5.0,1200,0.46,11.2,0.736,0.33899999999999997,0.19399999999999998,0.092,0.111,0.264,0.47700000000000004,0.621,0.375,0.289,0.37,0.413,0.49,0.031,13,0.332,74,0.9109999999999999,0.358,0.48700000000000004,1.0,0.0
8,9.0,New Orleans Pelicans,9.0,2160,0.478,12.6,0.6990000000000001,0.28600000000000003,0.17600000000000002,0.131,0.10800000000000001,0.301,0.526,0.7140000000000001,0.451,0.33,0.379,0.366,0.579,0.057999999999999996,45,0.26,127,0.787,0.156,0.368,4.0,1.0
9,10.0,Oklahoma City Thunder,6.0,1440,0.43,13.5,0.667,0.268,0.146,0.12300000000000001,0.129,0.33299999999999996,0.462,0.619,0.289,0.45299999999999996,0.34299999999999997,0.364,0.35,0.057999999999999996,29,0.268,61,0.667,0.214,0.405,3.0,0.0
10,11.0,Philadelphia 76ers,10.0,2425,0.43700000000000006,12.8,0.669,0.316,0.157,0.095,0.10099999999999999,0.331,0.486,0.621,0.345,0.35700000000000004,0.40399999999999997,0.33799999999999997,0.569,0.045,36,0.308,145,0.9490000000000001,0.126,0.43200000000000005,1.0,0.0
