,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks,10.0,2425,0.43200000000000005,13.4,0.625,0.33299999999999996,0.114,0.07,0.106,0.375,0.491,0.5920000000000001,0.474,0.39,0.267,0.33299999999999996,0.512,0.033,26,0.303,143,0.877,0.20800000000000002,0.318,0.0,0.0
1,2.0,Boston Celtics,6.0,1465,0.384,13.3,0.648,0.35600000000000004,0.07400000000000001,0.08199999999999999,0.136,0.35200000000000004,0.44299999999999995,0.513,0.4,0.455,0.27399999999999997,0.275,0.526,0.019,10,0.337,89,0.846,0.249,0.34,1.0,0.0
2,3.0,Charlotte Hornets,7.0,1680,0.396,11.5,0.769,0.33899999999999997,0.17800000000000002,0.115,0.13699999999999998,0.231,0.423,0.508,0.38,0.369,0.312,0.308,0.366,0.021,10,0.321,88,0.7,0.138,0.278,1.0,0.0
3,4.0,Cleveland Cavaliers,21.0,5040,0.469,13.8,0.63,0.29,0.132,0.09699999999999999,0.111,0.37,0.506,0.643,0.344,0.413,0.42100000000000004,0.406,0.43700000000000006,0.06,95,0.23800000000000002,231,0.7979999999999999,0.287,0.456,4.0,0.0
4,5.0,Dallas Mavericks,5.0,1200,0.436,12.6,0.736,0.293,0.163,0.12300000000000001,0.16,0.264,0.488,0.605,0.39399999999999996,0.36,0.462,0.29,0.521,0.057,20,0.22899999999999998,49,0.871,0.215,0.304,2.0,0.0
5,6.0,Detroit Pistons,4.0,960,0.478,12.6,0.691,0.29600000000000004,0.17600000000000002,0.126,0.09300000000000001,0.309,0.524,0.674,0.358,0.42100000000000004,0.5,0.376,0.505,0.027000000000000003,8,0.26899999999999996,51,0.914,0.32299999999999995,0.5,1.0,0.0
6,7.0,Golden State Warriors,24.0,5785,0.455,14.3,0.621,0.278,0.13,0.125,0.08800000000000001,0.379,0.49200000000000005,0.618,0.369,0.395,0.409,0.39299999999999996,0.532,0.055999999999999994,105,0.226,250,0.81,0.23,0.413,9.0,0.0
7,8.0,Houston Rockets,5.0,1200,0.386,13.1,0.6679999999999999,0.23399999999999999,0.243,0.11199999999999999,0.079,0.332,0.444,0.6,0.337,0.354,0.441,0.268,0.48,0.063,25,0.18,37,0.763,0.289,0.268,3.0,0.0
8,9.0,Indiana Pacers,7.0,1680,0.441,13.1,0.716,0.267,0.177,0.09,0.18100000000000002,0.284,0.46399999999999997,0.55,0.366,0.40399999999999997,0.46299999999999997,0.38299999999999995,0.46,0.048,24,0.248,58,0.825,0.336,0.34,1.0,0.0
9,10.0,Los Angeles Clippers,6.0,1440,0.43700000000000006,13.3,0.7709999999999999,0.237,0.17600000000000002,0.155,0.20199999999999999,0.22899999999999998,0.48100000000000004,0.669,0.41100000000000003,0.405,0.379,0.29100000000000004,0.418,0.061,29,0.19,57,0.882,0.12,0.214,1.0,0.0
10,11.0,Memphis Grizzlies,4.0,960,0.39399999999999996,11.6,0.8029999999999999,0.354,0.154,0.08,0.218,0.19699999999999998,0.418,0.48700000000000004,0.24,0.423,0.423,0.297,0.45899999999999996,0.031,9,0.33799999999999997,49,0.8420000000000001,0.23399999999999999,0.33299999999999996,2.0,0.0
