,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks,82,19705,0.446,13.6,0.637,0.279,0.131,0.105,0.122,0.363,0.495,0.635,0.351,0.399,0.411,0.36,0.52,0.052,309,0.288,1064,0.869,0.243,0.426,22.0,0.0
1,2.0,Boston Celtics*,82,19805,0.45,13.7,0.643,0.259,0.158,0.106,0.12,0.357,0.491,0.628,0.364,0.419,0.426,0.377,0.49,0.047,274,0.261,935,0.813,0.213,0.408,18.0,0.0
2,3.0,Brooklyn Nets,82,19855,0.441,13.7,0.589,0.269,0.175,0.083,0.062,0.411,0.5,0.643,0.379,0.4,0.354,0.356,0.507,0.043,269,0.287,1098,0.844,0.201,0.376,13.0,1.0
3,4.0,Chicago Bulls,82,19855,0.435,13.6,0.65,0.254,0.165,0.095,0.135,0.35,0.478,0.624,0.39,0.388,0.377,0.355,0.51,0.039,261,0.25,942,0.848,0.184,0.372,15.0,0.0
4,5.0,Charlotte Hornets,82,19780,0.45,13.2,0.686,0.273,0.16,0.114,0.138,0.314,0.487,0.642,0.38,0.408,0.37,0.369,0.484,0.046,300,0.268,1029,0.756,0.154,0.369,22.0,1.0
5,6.0,Cleveland Cavaliers*,82,19730,0.476,13.8,0.621,0.297,0.113,0.092,0.119,0.379,0.54,0.706,0.368,0.413,0.387,0.372,0.478,0.051,319,0.269,1163,0.819,0.252,0.417,13.0,0.0
6,7.0,Dallas Mavericks,82,19805,0.444,14.4,0.618,0.241,0.135,0.105,0.137,0.382,0.496,0.652,0.4,0.385,0.405,0.36,0.491,0.048,295,0.222,850,0.824,0.169,0.416,20.0,0.0
7,8.0,Denver Nuggets,82,19880,0.47,12.8,0.643,0.275,0.204,0.09,0.074,0.357,0.525,0.664,0.424,0.441,0.391,0.371,0.526,0.055,356,0.302,1157,0.848,0.167,0.417,26.0,0.0
8,9.0,Detroit Pistons,82,19805,0.45,13.1,0.667,0.26,0.185,0.107,0.116,0.333,0.488,0.657,0.346,0.433,0.388,0.373,0.465,0.044,271,0.28,1047,0.889,0.227,0.392,19.0,1.0
9,10.0,Golden State Warriors*,82,19730,0.503,14.0,0.661,0.267,0.111,0.139,0.144,0.339,0.56,0.708,0.424,0.485,0.463,0.391,0.643,0.071,454,0.229,952,0.801,0.158,0.405,26.0,0.0
10,11.0,Houston Rockets*,82,19755,0.46,15.0,0.498,0.288,0.103,0.062,0.044,0.502,0.558,0.669,0.369,0.454,0.43,0.362,0.47,0.062,392,0.261,1004,0.689,0.227,0.401,17.0,1.0
11,12.0,Indiana Pacers*,82,19755,0.472,13.0,0.716,0.293,0.136,0.096,0.191,0.284,0.513,0.638,0.42,0.449,0.422,0.369,0.465,0.041,250,0.294,1168,0.819,0.22,0.425,21.0,0.0
12,13.0,Los Angeles Clippers,82,19705,0.471,11.8,0.686,0.347,0.164,0.083,0.091,0.314,0.525,0.659,0.378,0.424,0.378,0.354,0.502,0.082,512,0.301,1153,0.726,0.219,0.338,15.0,1.0
