,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks,7.0,1680,0.385,15.5,0.583,0.23399999999999999,0.134,0.08,0.134,0.41700000000000004,0.414,0.574,0.284,0.25,0.365,0.34299999999999997,0.391,0.013000000000000001,7,0.221,70,0.835,0.17,0.308,1.0,0.0
1,2.0,Brooklyn Nets,12.0,2880,0.46299999999999997,13.5,0.698,0.256,0.17,0.134,0.138,0.302,0.515,0.649,0.49,0.43,0.379,0.342,0.43200000000000005,0.031,24,0.21600000000000003,119,0.86,0.268,0.41100000000000003,1.0,0.0
2,3.0,Charlotte Hornets,4.0,960,0.449,12.6,0.718,0.299,0.18600000000000003,0.083,0.15,0.282,0.48100000000000004,0.5329999999999999,0.429,0.56,0.4,0.365,0.5379999999999999,0.04,12,0.252,34,0.742,0.22399999999999998,0.263,0.0,0.0
3,4.0,Chicago Bulls,5.0,1225,0.42200000000000004,13.0,0.7559999999999999,0.305,0.13,0.092,0.22899999999999998,0.244,0.451,0.5920000000000001,0.314,0.389,0.36700000000000005,0.33299999999999996,0.545,0.036000000000000004,14,0.26,53,0.875,0.24,0.348,0.0,0.0
4,5.0,Dallas Mavericks,7.0,1680,0.451,13.9,0.741,0.249,0.12,0.147,0.226,0.259,0.478,0.609,0.452,0.47200000000000003,0.35,0.376,0.442,0.033,19,0.20800000000000002,69,0.6609999999999999,0.261,0.341,3.0,0.0
5,6.0,Golden State Warriors,7.0,1680,0.46,12.9,0.684,0.306,0.174,0.098,0.107,0.316,0.505,0.657,0.396,0.281,0.452,0.364,0.5920000000000001,0.091,50,0.21,70,0.7759999999999999,0.272,0.4,3.0,0.0
6,7.0,Houston Rockets,6.0,1515,0.445,10.9,0.72,0.37799999999999995,0.215,0.055999999999999994,0.071,0.28,0.495,0.5579999999999999,0.40700000000000003,0.29,0.59,0.318,0.37200000000000005,0.075,36,0.298,79,0.755,0.221,0.324,2.0,0.0
7,8.0,Indiana Pacers,19.0,4560,0.451,13.4,0.742,0.255,0.16699999999999998,0.12300000000000001,0.196,0.258,0.47600000000000003,0.648,0.414,0.32799999999999996,0.39899999999999997,0.38,0.496,0.033,44,0.218,185,0.777,0.295,0.444,4.0,1.0
8,9.0,Los Angeles Clippers,13.0,3120,0.461,14.0,0.698,0.249,0.159,0.091,0.198,0.302,0.507,0.6709999999999999,0.373,0.41600000000000004,0.45,0.354,0.5670000000000001,0.055999999999999994,55,0.19399999999999998,132,0.731,0.24100000000000002,0.33299999999999996,2.0,1.0
9,10.0,Memphis Grizzlies,7.0,1780,0.41700000000000004,10.9,0.8270000000000001,0.311,0.23800000000000002,0.11800000000000001,0.159,0.17300000000000001,0.44299999999999995,0.594,0.354,0.32899999999999996,0.36700000000000005,0.29,0.5579999999999999,0.016,7,0.27399999999999997,105,0.8390000000000001,0.262,0.25,3.0,0.0
10,11.0,Miami Heat,20.0,4800,0.491,13.8,0.674,0.292,0.121,0.086,0.175,0.326,0.536,0.687,0.503,0.387,0.381,0.396,0.41200000000000003,0.04,54,0.24,221,0.8059999999999999,0.32299999999999995,0.428,2.0,0.0
