,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks*,82,19730,0.466,13.2,0.679,0.29,0.158,0.08,0.151,0.321,0.506,0.636,0.392,0.386,0.441,0.38,0.591,0.038,225,0.249,1000,0.918,0.275,0.421,3.0,0.0
1,2.0,Boston Celtics*,82,19880,0.443,13.3,0.72,0.279,0.145,0.103,0.193,0.28,0.488,0.623,0.383,0.408,0.416,0.327,0.565,0.041,267,0.228,958,0.877,0.204,0.374,16.0,0.0
2,3.0,Brooklyn Nets*,82,19930,0.451,12.4,0.76,0.268,0.213,0.116,0.164,0.24,0.489,0.617,0.444,0.406,0.396,0.331,0.488,0.04,243,0.218,860,0.887,0.284,0.391,24.0,0.0
3,4.0,Chicago Bulls*,82,19880,0.442,12.6,0.731,0.308,0.156,0.099,0.163,0.269,0.474,0.589,0.394,0.373,0.401,0.353,0.525,0.038,237,0.261,950,0.842,0.216,0.386,18.0,2.0
4,5.0,Charlotte Hornets,82,19905,0.42,13.2,0.774,0.263,0.153,0.124,0.234,0.226,0.45,0.571,0.381,0.388,0.391,0.318,0.521,0.032,202,0.22,800,0.791,0.177,0.39,16.0,0.0
5,6.0,Cleveland Cavaliers*,82,19780,0.458,13.2,0.666,0.295,0.156,0.092,0.124,0.334,0.504,0.649,0.358,0.387,0.432,0.367,0.509,0.064,393,0.215,848,0.803,0.289,0.364,4.0,1.0
6,7.0,Dallas Mavericks*,82,19880,0.463,13.3,0.704,0.287,0.142,0.094,0.182,0.296,0.509,0.661,0.379,0.42,0.417,0.352,0.482,0.057,364,0.22,933,0.857,0.229,0.393,10.0,1.0
7,8.0,Denver Nuggets,82,19880,0.433,12.7,0.716,0.297,0.177,0.09,0.151,0.284,0.476,0.624,0.349,0.397,0.38,0.325,0.506,0.057,358,0.224,901,0.839,0.236,0.344,22.0,1.0
8,9.0,Detroit Pistons,82,19830,0.432,12.2,0.71,0.323,0.192,0.065,0.128,0.29,0.468,0.601,0.329,0.381,0.386,0.344,0.512,0.043,273,0.247,981,0.815,0.24,0.396,20.0,0.0
9,10.0,Golden State Warriors*,82,19730,0.478,13.5,0.689,0.286,0.145,0.104,0.154,0.311,0.514,0.675,0.371,0.443,0.397,0.398,0.602,0.062,396,0.206,939,0.821,0.221,0.46,24.0,0.0
10,11.0,Houston Rockets*,82,19805,0.444,13.2,0.608,0.309,0.184,0.047,0.068,0.392,0.506,0.636,0.391,0.351,0.328,0.348,0.496,0.057,361,0.252,976,0.833,0.327,0.393,17.0,0.0
11,12.0,Indiana Pacers,82,19855,0.439,13.5,0.745,0.244,0.173,0.105,0.222,0.255,0.469,0.604,0.4,0.377,0.418,0.352,0.516,0.027,155,0.203,797,0.858,0.266,0.383,17.0,0.0
12,13.0,Los Angeles Clippers*,82,19730,0.473,14.5,0.678,0.241,0.119,0.096,0.217,0.322,0.519,0.682,0.406,0.436,0.434,0.376,0.563,0.063,386,0.166,705,0.82,0.264,0.394,11.0,0.0
13,14.0,Los Angeles Lakers,82,19930,0.435,13.0,0.78,0.263,0.151,0.131,0.232,0.22,0.461,0.651,0.35,0.376,0.366,0.344,0.527,0.043,276,0.205,859,0.726,0.183,0.396,7.0,0.0
