,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks*,82,19855,0.468,12.3,0.786,0.296,0.167,0.087,0.237,0.214,0.497,0.638,0.435,0.417,0.394,0.36,0.51,0.057,366,0.219,855,0.828,0.388,0.36,18.0,1.0
1,2.0,Boston Celtics*,82,19780,0.483,11.9,0.772,0.339,0.139,0.107,0.188,0.228,0.523,0.65,0.419,0.423,0.425,0.348,0.585,0.036,206,0.299,1164,0.89,0.214,0.339,11.0,0.0
2,3.0,Charlotte Bobcats*,82,19880,0.453,11.0,0.789,0.408,0.098,0.08,0.203,0.211,0.482,0.58,0.398,0.365,0.372,0.346,0.526,0.056,302,0.333,1129,0.861,0.286,0.378,19.0,1.0
3,4.0,Chicago Bulls*,82,19905,0.451,11.9,0.844,0.331,0.105,0.108,0.3,0.156,0.474,0.575,0.432,0.418,0.398,0.33,0.51,0.049,302,0.255,915,0.884,0.308,0.393,9.0,0.0
4,5.0,Cleveland Cavaliers*,82,19780,0.485,12.5,0.752,0.339,0.119,0.08,0.214,0.248,0.52,0.667,0.443,0.369,0.387,0.381,0.551,0.073,427,0.248,966,0.762,0.329,0.412,12.0,1.0
5,6.0,Dallas Mavericks*,82,19880,0.464,12.7,0.778,0.282,0.127,0.142,0.229,0.222,0.491,0.6,0.422,0.41,0.444,0.372,0.556,0.038,235,0.224,853,0.864,0.221,0.399,13.0,0.0
6,7.0,Denver Nuggets*,82,19780,0.468,12.0,0.773,0.351,0.11,0.094,0.218,0.227,0.5,0.623,0.388,0.4,0.401,0.359,0.503,0.066,407,0.265,998,0.772,0.214,0.4,16.0,0.0
7,8.0,Detroit Pistons,82,19780,0.445,11.8,0.82,0.319,0.125,0.145,0.23,0.18,0.474,0.588,0.395,0.414,0.396,0.314,0.49,0.045,264,0.251,894,0.89,0.322,0.334,14.0,0.0
8,9.0,Golden State Warriors,82,19730,0.469,13.3,0.762,0.298,0.113,0.095,0.256,0.238,0.499,0.651,0.367,0.393,0.419,0.375,0.481,0.039,262,0.246,1063,0.858,0.253,0.433,20.0,0.0
9,10.0,Houston Rockets,82,19905,0.447,12.0,0.735,0.346,0.134,0.089,0.165,0.265,0.481,0.572,0.427,0.382,0.388,0.351,0.507,0.031,196,0.301,1125,0.85,0.24,0.395,15.0,0.0
10,11.0,Indiana Pacers,82,19705,0.443,13.4,0.722,0.28,0.135,0.098,0.209,0.278,0.479,0.599,0.425,0.403,0.39,0.348,0.474,0.034,216,0.237,911,0.926,0.189,0.362,11.0,0.0
11,12.0,Los Angeles Clippers,82,19705,0.455,12.0,0.779,0.341,0.113,0.117,0.208,0.221,0.49,0.602,0.458,0.362,0.394,0.332,0.563,0.046,281,0.267,992,0.814,0.225,0.366,19.0,0.0
12,13.0,Los Angeles Lakers*,82,19830,0.457,12.1,0.773,0.311,0.15,0.121,0.191,0.227,0.492,0.597,0.436,0.426,0.406,0.341,0.497,0.054,344,0.233,860,0.812,0.231,0.382,18.0,1.0
