,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks,82,19855,0.451,13.6,0.597,0.332,0.134,0.083,0.047,0.403,0.518,0.64,0.356,0.374,0.374,0.352,0.533,0.081,528,0.306,1175,0.824,0.245,0.393,21.0,0.0
1,2.0,Boston Celtics*,82,19780,0.465,14.5,0.619,0.248,0.147,0.114,0.109,0.381,0.527,0.677,0.42,0.448,0.41,0.365,0.527,0.051,337,0.247,1028,0.854,0.196,0.355,7.0,0.0
2,3.0,Brooklyn Nets*,82,19980,0.449,13.7,0.597,0.299,0.166,0.084,0.048,0.403,0.513,0.639,0.373,0.423,0.366,0.353,0.508,0.051,326,0.309,1207,0.774,0.185,0.377,14.0,1.0
3,4.0,Chicago Bulls,82,19905,0.453,12.4,0.705,0.31,0.191,0.104,0.101,0.295,0.496,0.627,0.408,0.392,0.368,0.351,0.465,0.052,340,0.295,1112,0.838,0.218,0.4,14.0,0.0
4,5.0,Charlotte Hornets,82,19830,0.448,13.9,0.622,0.289,0.165,0.083,0.084,0.378,0.507,0.625,0.387,0.44,0.401,0.351,0.494,0.041,264,0.305,1181,0.777,0.194,0.415,37.0,2.0
5,6.0,Cleveland Cavaliers,82,19755,0.444,13.4,0.668,0.277,0.171,0.114,0.105,0.332,0.488,0.619,0.39,0.411,0.387,0.355,0.435,0.04,248,0.272,1042,0.802,0.207,0.36,11.0,0.0
6,7.0,Dallas Mavericks,82,19780,0.447,14.5,0.578,0.268,0.157,0.088,0.065,0.422,0.524,0.677,0.4,0.397,0.371,0.34,0.506,0.067,428,0.233,917,0.806,0.194,0.383,27.0,1.0
7,8.0,Denver Nuggets*,82,19730,0.466,13.1,0.652,0.277,0.203,0.101,0.07,0.348,0.527,0.674,0.407,0.457,0.394,0.351,0.571,0.053,348,0.27,1103,0.883,0.183,0.406,17.0,1.0
8,9.0,Detroit Pistons*,82,19855,0.44,14.0,0.606,0.263,0.197,0.074,0.073,0.394,0.5,0.638,0.396,0.365,0.419,0.348,0.465,0.044,277,0.304,1133,0.831,0.252,0.38,29.0,0.0
9,10.0,Golden State Warriors*,82,19805,0.491,15.2,0.616,0.25,0.107,0.121,0.138,0.384,0.557,0.703,0.433,0.477,0.458,0.385,0.61,0.074,504,0.216,916,0.803,0.195,0.427,19.0,2.0
10,11.0,Houston Rockets*,82,19830,0.449,15.6,0.481,0.261,0.145,0.05,0.025,0.519,0.551,0.67,0.4,0.415,0.452,0.356,0.482,0.06,392,0.255,969,0.626,0.242,0.372,8.0,1.0
11,12.0,Indiana Pacers*,82,19705,0.475,12.9,0.708,0.311,0.158,0.086,0.152,0.292,0.517,0.651,0.407,0.416,0.414,0.374,0.557,0.035,224,0.317,1304,0.864,0.229,0.432,10.0,1.0
12,13.0,Los Angeles Clippers*,82,19830,0.471,12.5,0.705,0.312,0.182,0.113,0.098,0.295,0.507,0.638,0.397,0.426,0.385,0.388,0.497,0.063,408,0.288,1081,0.849,0.21,0.409,15.0,0.0
