,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%
0,1.0,Atlanta Hawks,16.0,3890,0.43,13.5,0.704,0.268,0.158,0.107,0.171,0.296,0.454,0.592,0.405,0.352,0.345,0.375,0.477,0.034,42,0.222,167,0.881,0.31,0.392
1,2.0,Boston Celtics,4.0,960,0.438,14.5,0.619,0.272,0.131,0.056,0.163,0.381,0.51,0.644,0.357,0.389,0.442,0.32,0.366,0.047,13,0.213,40,0.769,0.287,0.314
2,3.0,Brooklyn Nets,6.0,1465,0.441,13.6,0.638,0.322,0.121,0.067,0.128,0.362,0.489,0.649,0.317,0.257,0.373,0.354,0.571,0.029,15,0.284,89,0.896,0.275,0.385
3,4.0,Chicago Bulls,12.0,2930,0.407,12.8,0.731,0.313,0.13,0.115,0.173,0.269,0.433,0.516,0.397,0.353,0.362,0.336,0.486,0.038,31,0.258,121,0.89,0.232,0.476
4,5.0,Cleveland Cavaliers,20.0,4875,0.419,13.1,0.693,0.291,0.16,0.107,0.135,0.307,0.468,0.614,0.331,0.348,0.411,0.31,0.527,0.049,74,0.235,214,0.753,0.216,0.382
5,6.0,Dallas Mavericks,5.0,1200,0.466,11.4,0.695,0.373,0.175,0.07,0.077,0.305,0.517,0.675,0.36,0.333,0.273,0.351,0.513,0.11,44,0.259,65,0.826,0.214,0.286
6,7.0,Golden State Warriors,21.0,5115,0.417,12.6,0.732,0.254,0.226,0.127,0.124,0.268,0.459,0.62,0.328,0.439,0.385,0.304,0.529,0.046,73,0.192,186,0.727,0.2,0.298
7,8.0,Houston Rockets,17.0,4080,0.46,13.3,0.68,0.274,0.184,0.086,0.136,0.32,0.518,0.695,0.4,0.454,0.364,0.337,0.512,0.074,103,0.199,186,0.817,0.244,0.429
8,9.0,Los Angeles Clippers,14.0,3385,0.446,13.2,0.667,0.266,0.211,0.083,0.107,0.333,0.491,0.659,0.378,0.398,0.37,0.355,0.537,0.052,59,0.211,141,0.829,0.259,0.373
9,10.0,Memphis Grizzlies,11.0,2640,0.436,14.2,0.654,0.276,0.123,0.111,0.145,0.346,0.47,0.615,0.358,0.367,0.367,0.373,0.474,0.043,33,0.202,108,0.816,0.222,0.397
10,11.0,Milwaukee Bucks,6.0,1490,0.437,13.7,0.665,0.297,0.136,0.102,0.13,0.335,0.456,0.577,0.368,0.353,0.354,0.399,0.678,0.036,16,0.248,70,0.806,0.214,0.472
11,12.0,New Orleans Pelicans,4.0,985,0.449,13.9,0.646,0.294,0.146,0.077,0.129,0.354,0.487,0.68,0.333,0.259,0.356,0.379,0.564,0.069,21,0.217,46,0.872,0.161,0.45
12,13.0,Portland Trail Blazers,5.0,1200,0.438,11.6,0.854,0.282,0.207,0.144,0.221,0.146,0.449,0.592,0.341,0.459,0.362,0.371,0.466,0.033,11,0.231,56,0.783,0.274,0.412
13,14.0,San Antonio Spurs,7.0,1705,0.466,13.2,0.747,0.269,0.153,0.114,0.212,0.253,0.512,0.66,0.393,0.47,0.431,0.333,0.505,0.067,35,0.179,62,0.714,0.224,0.333
14,15.0,Toronto Raptors,4.0,985,0.482,13.4,0.704,0.284,0.146,0.113,0.162,0.296,0.498,0.699,0.438,0.351,0.302,0.443,0.565,0.024,8,0.241,51,0.93,0.247,0.542
15,16.0,Washington Wizards,10.0,2425,0.423,12.9,0.704,0.272,0.199,0.09,0.144,0.296,0.467,0.65,0.382,0.218,0.392,0.318,0.559,0.029,22,0.237,130,0.841,0.229,0.373
16,,League Average,10.3,2499,0.435,13.1,0.698,0.282,0.171,0.102,0.144,0.302,0.475,0.627,0.366,0.378,0.374,0.344,0.519,0.048,38,0.221,108,0.818,0.238,0.389
