,0
Dallas Mavericks,4
Miami Heat,3
Chicago Bulls,2
Oklahoma City Thunder,2
Memphis Grizzlies,1
Atlanta Hawks,1
Boston Celtics,1
Los Angeles Lakers,1
New Orleans Hornets,0
Orlando Magic,0
Portland Trail Blazers,0
San Antonio Spurs,0
Denver Nuggets,0
Indiana Pacers,0
Philadelphia 76ers,0
New York Knicks,0
