,0
Los Angeles Lakers,4
Miami Heat,3
Boston Celtics,2
Denver Nuggets,2
Los Angeles Clippers,1
Toronto Raptors,1
Houston Rockets,1
Milwaukee Bucks,1
Oklahoma City Thunder,0
Utah Jazz,0
Dallas Mavericks,0
Orlando Magic,0
Portland Trail Blazers,0
Brooklyn Nets,0
Indiana Pacers,0
Philadelphia 76ers,0
