,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks*,82,19730,0.462,13.5,0.778,0.233,0.175,0.09699999999999999,0.27399999999999997,0.222,0.494,0.649,0.434,0.39,0.436,0.35200000000000004,0.55,0.045,263,0.182,692,0.882,0.349,0.38,13.0,1.0
1,2.0,Boston Celtics*,82,19780,0.486,12.1,0.82,0.313,0.14,0.113,0.254,0.18,0.513,0.674,0.376,0.445,0.42,0.365,0.597,0.043,256,0.265,1041,0.882,0.26,0.467,8.0,0.0
2,3.0,Charlotte Bobcats,82,19805,0.451,12.0,0.8109999999999999,0.33399999999999996,0.145,0.09699999999999999,0.235,0.18899999999999997,0.48,0.61,0.354,0.395,0.41,0.327,0.56,0.045,242,0.275,995,0.86,0.187,0.373,18.0,0.0
3,4.0,Chicago Bulls*,82,19830,0.462,12.5,0.785,0.304,0.151,0.102,0.22899999999999998,0.215,0.489,0.638,0.389,0.40399999999999997,0.397,0.361,0.5479999999999999,0.052000000000000005,314,0.257,986,0.863,0.275,0.373,17.0,0.0
4,5.0,Cleveland Cavaliers,82,19755,0.434,12.3,0.7759999999999999,0.29600000000000004,0.179,0.09699999999999999,0.203,0.22399999999999998,0.461,0.61,0.355,0.33299999999999996,0.39799999999999996,0.342,0.542,0.051,312,0.239,874,0.847,0.23399999999999999,0.37,7.0,0.0
5,6.0,Dallas Mavericks*,82,19705,0.475,13.6,0.726,0.24,0.162,0.125,0.19899999999999998,0.27399999999999997,0.516,0.684,0.40700000000000003,0.423,0.461,0.365,0.565,0.053,321,0.18100000000000002,723,0.905,0.293,0.392,18.0,1.0
6,7.0,Denver Nuggets*,82,19705,0.47600000000000003,12.3,0.742,0.349,0.133,0.07400000000000001,0.18600000000000003,0.258,0.506,0.633,0.371,0.37799999999999995,0.414,0.38799999999999996,0.49700000000000005,0.059000000000000004,355,0.29,1122,0.875,0.28600000000000003,0.4,17.0,1.0
7,8.0,Detroit Pistons,82,19880,0.46,12.0,0.8109999999999999,0.307,0.15,0.132,0.222,0.18899999999999997,0.479,0.634,0.376,0.376,0.396,0.376,0.507,0.043,246,0.249,987,0.892,0.365,0.397,18.0,1.0
8,9.0,Golden State Warriors,82,19830,0.461,13.0,0.752,0.276,0.16899999999999998,0.09300000000000001,0.214,0.248,0.484,0.6559999999999999,0.37,0.349,0.41200000000000003,0.392,0.489,0.048,317,0.212,925,0.866,0.295,0.43200000000000005,19.0,1.0
9,10.0,Houston Rockets,82,19880,0.45399999999999996,12.9,0.736,0.263,0.203,0.092,0.177,0.264,0.486,0.644,0.39399999999999996,0.405,0.39799999999999996,0.36700000000000005,0.5529999999999999,0.026000000000000002,165,0.247,1063,0.851,0.22699999999999998,0.4,15.0,0.0
10,11.0,Indiana Pacers*,82,19780,0.442,13.2,0.7559999999999999,0.245,0.182,0.11599999999999999,0.213,0.244,0.47100000000000003,0.627,0.402,0.397,0.391,0.354,0.45,0.047,288,0.20199999999999999,806,0.892,0.203,0.39399999999999996,11.0,0.0
