,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks*,82,19880,0.451,13.0,0.691,0.331,0.11699999999999999,0.092,0.151,0.309,0.501,0.616,0.349,0.39399999999999996,0.429,0.341,0.542,0.054000000000000006,341,0.287,1093,0.879,0.23399999999999999,0.38799999999999996,12.0,0.0
1,2.0,Boston Celtics*,82,19755,0.45399999999999996,14.2,0.607,0.29600000000000004,0.129,0.071,0.111,0.39299999999999996,0.515,0.633,0.395,0.41700000000000004,0.405,0.359,0.57,0.033,211,0.271,1106,0.836,0.22,0.41,20.0,0.0
2,3.0,Brooklyn Nets,82,19755,0.444,13.2,0.629,0.309,0.17300000000000001,0.077,0.07,0.371,0.506,0.613,0.418,0.391,0.374,0.33799999999999997,0.45399999999999996,0.035,225,0.3,1173,0.851,0.215,0.373,21.0,0.0
3,4.0,Chicago Bulls*,82,19780,0.444,12.8,0.7440000000000001,0.28,0.16699999999999998,0.11699999999999999,0.179,0.256,0.479,0.6,0.449,0.39299999999999996,0.377,0.34,0.513,0.038,248,0.255,1005,0.875,0.289,0.415,9.0,0.0
4,5.0,Charlotte Hornets,82,19830,0.442,13.9,0.665,0.282,0.133,0.099,0.152,0.335,0.488,0.61,0.4,0.419,0.38,0.35100000000000003,0.545,0.034,218,0.253,1006,0.795,0.133,0.377,15.0,1.0
5,6.0,Cleveland Cavaliers*,82,19880,0.47,14.4,0.601,0.284,0.11,0.092,0.115,0.39899999999999997,0.528,0.6659999999999999,0.36200000000000004,0.428,0.425,0.384,0.441,0.059000000000000004,381,0.231,944,0.8290000000000001,0.293,0.41200000000000003,7.0,0.0
6,7.0,Dallas Mavericks,82,19780,0.44,15.4,0.634,0.201,0.127,0.11599999999999999,0.18899999999999997,0.366,0.489,0.637,0.444,0.441,0.391,0.355,0.474,0.04,237,0.16699999999999998,650,0.813,0.196,0.371,17.0,0.0
7,8.0,Denver Nuggets,82,19755,0.469,12.8,0.6709999999999999,0.33,0.156,0.078,0.10800000000000001,0.32899999999999996,0.519,0.627,0.441,0.386,0.397,0.368,0.526,0.053,347,0.28300000000000003,1156,0.87,0.192,0.387,19.0,0.0
8,9.0,Detroit Pistons,82,19805,0.449,13.1,0.737,0.25,0.18899999999999997,0.141,0.157,0.263,0.49200000000000005,0.6459999999999999,0.384,0.445,0.41600000000000004,0.33,0.455,0.043,283,0.212,905,0.845,0.203,0.384,30.0,1.0
9,10.0,Golden State Warriors*,82,19780,0.495,14.1,0.6409999999999999,0.303,0.102,0.107,0.129,0.359,0.557,0.69,0.408,0.43,0.469,0.38299999999999995,0.6559999999999999,0.075,500,0.235,1019,0.8320000000000001,0.20800000000000002,0.409,30.0,1.0
10,11.0,Houston Rockets*,82,19780,0.462,14.4,0.5379999999999999,0.321,0.125,0.040999999999999995,0.05,0.462,0.552,0.667,0.391,0.375,0.374,0.35700000000000004,0.546,0.076,483,0.26899999999999996,1146,0.7709999999999999,0.201,0.39,14.0,0.0
