,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 18_level_1,Dunks,Dunks,Layups,Layups,Unnamed: 23_level_1,Corner,Corner,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
0,1.0,Atlanta Hawks*,82,19830,0.45799999999999996,12.7,0.664,0.326,0.121,0.078,0.138,0.336,0.512,0.623,0.377,0.431,0.415,0.35,0.5820000000000001,0.037000000000000005,222,0.293,1182,0.8959999999999999,0.244,0.36,12.0,1.0
1,2.0,Boston Celtics*,82,19780,0.439,12.4,0.7070000000000001,0.318,0.141,0.094,0.154,0.293,0.483,0.624,0.355,0.37799999999999995,0.373,0.335,0.546,0.025,169,0.29,1262,0.856,0.23199999999999998,0.345,12.0,0.0
2,3.0,Brooklyn Nets,82,19755,0.45299999999999996,11.6,0.782,0.284,0.21100000000000002,0.106,0.18100000000000002,0.218,0.48100000000000004,0.608,0.426,0.40399999999999997,0.392,0.35200000000000004,0.53,0.032,202,0.266,1038,0.8440000000000001,0.309,0.391,13.0,0.0
3,4.0,Chicago Bulls,82,19905,0.441,12.2,0.7559999999999999,0.29100000000000004,0.162,0.11699999999999999,0.185,0.244,0.46399999999999997,0.573,0.391,0.4,0.39799999999999996,0.371,0.515,0.039,255,0.262,966,0.883,0.22399999999999998,0.397,16.0,1.0
4,5.0,Charlotte Hornets*,82,19855,0.439,13.7,0.652,0.27399999999999997,0.129,0.09300000000000001,0.156,0.348,0.479,0.599,0.39399999999999996,0.38299999999999995,0.397,0.36200000000000004,0.48200000000000004,0.028999999999999998,177,0.248,962,0.84,0.171,0.409,9.0,1.0
5,6.0,Cleveland Cavaliers*,82,19855,0.46,13.3,0.648,0.28,0.149,0.095,0.125,0.35200000000000004,0.514,0.6579999999999999,0.391,0.37799999999999995,0.43799999999999994,0.36200000000000004,0.48100000000000004,0.057,358,0.22699999999999998,920,0.861,0.26,0.391,5.0,1.0
6,7.0,Dallas Mavericks*,82,20005,0.444,13.7,0.6609999999999999,0.243,0.149,0.111,0.159,0.33899999999999997,0.495,0.6559999999999999,0.369,0.431,0.41200000000000003,0.344,0.5,0.033,214,0.214,879,0.847,0.213,0.39,17.0,0.0
7,8.0,Denver Nuggets,82,19830,0.442,11.8,0.723,0.342,0.158,0.08,0.142,0.27699999999999997,0.48200000000000004,0.586,0.389,0.373,0.397,0.33799999999999997,0.5429999999999999,0.055,356,0.287,1053,0.8109999999999999,0.21,0.34,18.0,2.0
8,9.0,Detroit Pistons*,82,19880,0.439,12.3,0.6970000000000001,0.294,0.184,0.10400000000000001,0.11599999999999999,0.303,0.48,0.61,0.369,0.41,0.38799999999999996,0.345,0.42200000000000004,0.037000000000000005,232,0.258,1032,0.8029999999999999,0.254,0.374,30.0,1.0
9,10.0,Golden State Warriors*,82,19880,0.48700000000000004,13.5,0.638,0.301,0.125,0.09300000000000001,0.11900000000000001,0.36200000000000004,0.528,0.66,0.36200000000000004,0.42200000000000004,0.452,0.41600000000000004,0.626,0.062,402,0.242,1032,0.792,0.22899999999999998,0.413,22.0,2.0
10,11.0,Houston Rockets*,82,19830,0.452,12.5,0.63,0.321,0.16399999999999998,0.064,0.08199999999999999,0.37,0.514,0.6509999999999999,0.35600000000000004,0.4,0.379,0.34700000000000003,0.508,0.07,442,0.266,1022,0.7929999999999999,0.307,0.36,21.0,0.0
