,0,1
Atlanta Hawks,40,26
Boston Celtics,39,27
Brooklyn Nets,22,44
Charlotte Bobcats,7,59
Chicago Bulls,50,16
Cleveland Cavaliers,21,45
Dallas Mavericks,36,30
Denver Nuggets,38,28
Detroit Pistons,25,41
Golden State Warriors,23,43
Houston Rockets,34,32
Indiana Pacers,42,24
Los Angeles Clippers,40,26
Los Angeles Lakers,41,25
Memphis Grizzlies,41,25
Miami Heat,46,20
Milwaukee Bucks,31,35
Minnesota Timberwolves,26,40
New Orleans Hornets,21,45
New York Knicks,36,30
Oklahoma City Thunder,47,19
Orlando Magic,37,29
Philadelphia 76ers,35,31
Phoenix Suns,33,33
Portland Trail Blazers,28,38
Sacramento Kings,22,44
San Antonio Spurs,50,16
Toronto Raptors,23,43
Utah Jazz,36,30
Washington Wizards,20,46
