,0,1
Atlanta Hawks,29,53
Boston Celtics,49,33
Brooklyn Nets,42,40
Charlotte Hornets,39,43
Chicago Bulls,22,60
Cleveland Cavaliers,19,63
Dallas Mavericks,33,49
Denver Nuggets,54,28
Detroit Pistons,41,41
Golden State Warriors,57,25
Houston Rockets,53,29
Indiana Pacers,48,34
Los Angeles Clippers,48,34
Los Angeles Lakers,37,45
Memphis Grizzlies,33,49
Miami Heat,39,43
Milwaukee Bucks,60,22
Minnesota Timberwolves,36,46
New Orleans Pelicans,33,49
New York Knicks,17,65
Oklahoma City Thunder,49,33
Orlando Magic,42,40
Philadelphia 76ers,51,31
Phoenix Suns,19,63
Portland Trail Blazers,53,29
Sacramento Kings,39,43
San Antonio Spurs,48,34
Toronto Raptors,58,24
Utah Jazz,50,32
Washington Wizards,32,50
