,0,1
Atlanta Hawks,53,29
Boston Celtics,50,32
Brooklyn Nets,12,70
Charlotte Bobcats,44,38
Chicago Bulls,41,41
Cleveland Cavaliers,61,21
Dallas Mavericks,55,27
Denver Nuggets,53,29
Detroit Pistons,27,55
Golden State Warriors,26,56
Houston Rockets,42,40
Indiana Pacers,32,50
Los Angeles Clippers,29,53
Los Angeles Lakers,57,25
Memphis Grizzlies,40,42
Miami Heat,47,35
Milwaukee Bucks,46,36
Minnesota Timberwolves,15,67
New Orleans Hornets,37,45
New York Knicks,29,53
Oklahoma City Thunder,50,32
Orlando Magic,59,23
Philadelphia 76ers,27,55
Phoenix Suns,54,28
Portland Trail Blazers,50,32
Sacramento Kings,25,57
San Antonio Spurs,50,32
Toronto Raptors,40,42
Utah Jazz,53,29
Washington Wizards,26,56
