,0,1
Atlanta Hawks,20,47
Boston Celtics,48,24
Brooklyn Nets,35,37
Charlotte Hornets,23,42
Chicago Bulls,22,43
Cleveland Cavaliers,19,46
Dallas Mavericks,43,32
Denver Nuggets,46,27
Detroit Pistons,20,46
Golden State Warriors,15,50
Houston Rockets,44,28
Indiana Pacers,45,28
Los Angeles Clippers,49,23
Los Angeles Lakers,52,19
Memphis Grizzlies,34,39
Miami Heat,44,29
Milwaukee Bucks,56,17
Minnesota Timberwolves,19,45
New Orleans Pelicans,30,42
New York Knicks,21,45
Oklahoma City Thunder,44,28
Orlando Magic,33,40
Philadelphia 76ers,43,30
Phoenix Suns,34,39
Portland Trail Blazers,35,39
Sacramento Kings,31,41
San Antonio Spurs,32,39
Toronto Raptors,53,19
Utah Jazz,44,28
Washington Wizards,25,47
