,0,1
Atlanta Hawks,48,34
Boston Celtics,48,34
Brooklyn Nets,21,61
Charlotte Hornets,48,34
Chicago Bulls,42,40
Cleveland Cavaliers,57,25
Dallas Mavericks,42,40
Denver Nuggets,33,49
Detroit Pistons,44,38
Golden State Warriors,73,9
Houston Rockets,41,41
Indiana Pacers,45,37
Los Angeles Clippers,53,29
Los Angeles Lakers,17,65
Memphis Grizzlies,42,40
Miami Heat,48,34
Milwaukee Bucks,33,49
Minnesota Timberwolves,29,53
New Orleans Pelicans,30,52
New York Knicks,32,50
Oklahoma City Thunder,55,27
Orlando Magic,35,47
Philadelphia 76ers,10,72
Phoenix Suns,23,59
Portland Trail Blazers,44,38
Sacramento Kings,33,49
San Antonio Spurs,67,15
Toronto Raptors,56,26
Utah Jazz,40,42
Washington Wizards,41,41
