,0,1
Atlanta Hawks,38,44
Boston Celtics,25,57
Brooklyn Nets,44,38
Charlotte Bobcats,43,39
Chicago Bulls,48,34
Cleveland Cavaliers,33,49
Dallas Mavericks,49,33
Denver Nuggets,36,46
Detroit Pistons,29,53
Golden State Warriors,51,31
Houston Rockets,54,28
Indiana Pacers,56,26
Los Angeles Clippers,57,25
Los Angeles Lakers,27,55
Memphis Grizzlies,50,32
Miami Heat,54,28
Milwaukee Bucks,15,67
Minnesota Timberwolves,40,42
New Orleans Pelicans,34,48
New York Knicks,37,45
Oklahoma City Thunder,59,23
Orlando Magic,23,59
Philadelphia 76ers,19,63
Phoenix Suns,48,34
Portland Trail Blazers,54,28
Sacramento Kings,28,54
San Antonio Spurs,62,20
Toronto Raptors,48,34
Utah Jazz,25,57
Washington Wizards,44,38
