,0,1
Atlanta Hawks,44,38
Boston Celtics,41,40
Brooklyn Nets,49,33
Charlotte Bobcats,21,61
Chicago Bulls,45,37
Cleveland Cavaliers,24,58
Dallas Mavericks,41,41
Denver Nuggets,57,25
Detroit Pistons,29,53
Golden State Warriors,47,35
Houston Rockets,45,37
Indiana Pacers,49,32
Los Angeles Clippers,56,26
Los Angeles Lakers,45,37
Memphis Grizzlies,56,26
Miami Heat,66,16
Milwaukee Bucks,38,44
Minnesota Timberwolves,31,51
New Orleans Hornets,27,55
New York Knicks,54,28
Oklahoma City Thunder,60,22
Orlando Magic,20,62
Philadelphia 76ers,34,48
Phoenix Suns,25,57
Portland Trail Blazers,33,49
Sacramento Kings,28,54
San Antonio Spurs,58,24
Toronto Raptors,34,48
Utah Jazz,43,39
Washington Wizards,29,53
