,0,1
Atlanta Hawks,60,22
Boston Celtics,40,42
Brooklyn Nets,38,44
Charlotte Hornets,33,49
Chicago Bulls,50,32
Cleveland Cavaliers,53,29
Dallas Mavericks,50,32
Denver Nuggets,30,52
Detroit Pistons,32,50
Golden State Warriors,67,15
Houston Rockets,56,26
Indiana Pacers,38,44
Los Angeles Clippers,56,26
Los Angeles Lakers,21,61
Memphis Grizzlies,55,27
Miami Heat,37,45
Milwaukee Bucks,41,41
Minnesota Timberwolves,16,66
New Orleans Pelicans,45,37
New York Knicks,17,65
Oklahoma City Thunder,45,37
Orlando Magic,25,57
Philadelphia 76ers,18,64
Phoenix Suns,39,43
Portland Trail Blazers,51,31
Sacramento Kings,29,53
San Antonio Spurs,55,27
Toronto Raptors,49,33
Utah Jazz,38,44
Washington Wizards,46,36
