,0,1
Atlanta Hawks,43,39
Boston Celtics,53,29
Brooklyn Nets,20,62
Charlotte Hornets,36,46
Chicago Bulls,41,41
Cleveland Cavaliers,51,31
Dallas Mavericks,33,49
Denver Nuggets,40,42
Detroit Pistons,37,45
Golden State Warriors,67,15
Houston Rockets,55,27
Indiana Pacers,42,40
Los Angeles Clippers,51,31
Los Angeles Lakers,26,56
Memphis Grizzlies,43,39
Miami Heat,41,41
Milwaukee Bucks,42,40
Minnesota Timberwolves,31,51
New Orleans Pelicans,34,48
New York Knicks,31,51
Oklahoma City Thunder,47,35
Orlando Magic,29,53
Philadelphia 76ers,28,54
Phoenix Suns,24,58
Portland Trail Blazers,41,41
Sacramento Kings,32,50
San Antonio Spurs,61,21
Toronto Raptors,51,31
Utah Jazz,51,31
Washington Wizards,49,33
